group_key,audio_directory,audio_files,balanced_file_path,text_content,confidence_score,word_type,vad_start_time_ms,vad_end_time_ms,vad_duration_ms,word_start_time_ms,word_end_time_ms,word_duration_ms,sentence_number,is_last_result,pgs_type,rst_type,phone_info,language_info
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,那个朋友们大家好啊那个今天呢在这个吃中午饭呢我拿钓鱼竿上那个俺村那个下货拿几针,0.0,word,47,1253,1206,68,1155,1087,1,False,,,nei4ge4,mandarin
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,那个朋友们大家好啊那个今天呢在这个吃中午饭呢我拿钓鱼竿上那个俺村那个下河大集镇,0.0,word,47,1253,1206,0,0,0,1,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,那个朋友们大家好啊那个今天呢在这个吃中午饭呢我拿钓鱼竿上那个俺村那个下货拿几针,0.0,word,47,1253,1206,0,0,0,1,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,那个朋友们大家好啊那个今天呢在这个吃中午饭呢我拿钓鱼竿上那个俺村那个下河大集镇,0.0,word,47,1253,1206,0,0,0,1,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,那个朋友们大家好啊那个今天呢在这个吃中午饭呢我拿钓鱼竿上那个俺村那个下火拿几针,0.0,word,47,1253,1206,0,0,0,1,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,去钓鱼啊,0.0,word,1253,1354,101,1262,1341,79,2,False,,,qv4,mandarin
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,去钓鱼,0.0,word,1253,1354,101,0,0,0,2,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,去钓鱼,0.0,word,1253,1354,101,0,0,0,2,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,可钓鱼啊,0.0,word,1253,1354,101,0,0,0,2,False,,,,
shorts_2022-10-28_00-00-00,shorts,"2022-10-28_00-00-00_PART0000.wav, 2022-10-28_00-00-00_PART0001.wav, 2022-10-28_00-00-00_PART0002.wav, 2022-10-28_00-00-00_PART0003.wav, 2022-10-28_00-00-00_PART0004.wav, 2022-10-28_00-00-00_PART0005.wav, 2022-10-28_00-00-00_PART0006.wav, 2022-10-28_00-00-00_PART0007.wav, 2022-10-28_00-00-00_PART0008.wav, 2022-10-28_00-00-00_PART0009.wav, 2022-10-28_00-00-00_PART0010.wav, 2022-10-28_00-00-00_PART0011.wav, 2022-10-28_00-00-00_PART0012.wav, 2022-10-28_00-00-00_PART0013.wav",balanced/2022-10-28_00-00-00.wav,可以钓鱼啊,0.0,word,1253,1354,101,0,0,0,2,False,,,,
